Type Designator,Manufacturer,Model,Description,Engine Type,Engine Count,WTC,Class,Engine Number-Type,FAA Weight Class,ICAO WTC,CWT,SRS,LAHSO
EH10,LEONARDO,Caesar,Helicopter,Turboprop/Turboshaft,3,M,Helicopter,3T,S+,Medium,H,I,
LYNX,LEONARDO,AW-159 Lynx Wildcat,Helicopter,Turboprop/Turboshaft,2,L,Helicopter,2T,S,Light,I,I,
LYNX,LEONARDO,Lynx Wildcat,Helicopter,Turboprop/Turboshaft,2,L,Helicopter,2T,S,Light,I,I,
LYNX,LEONARDO,AW-159 Wildcat,Helicopter,Turboprop/Turboshaft,2,L,Helicopter,2T,S,Light,I,I,
LYNX,LEONARDO,Wildcat,Helicopter,Turboprop/Turboshaft,2,L,Helicopter,2T,S,Light,I,I,
H47,LEONARDO,ICH-47 Chinook,Helicopter,Turboprop/Turboshaft,2,M,Helicopter,2T,L,Medium,G,I,
H47,LEONARDO,Chinook,Helicopter,Turboprop/Turboshaft,2,M,Helicopter,2T,L,Medium,G,I,
A189,LEONARDO,AW-189,Helicopter,Turboprop/Turboshaft,2,M,Helicopter,2T,S+,Medium,H,I,
A119,LEONARDO,AW-119 Koala,Helicopter,Turboprop/Turboshaft,1,L,Helicopter,1T,S,Light,I,I,
A119,LEONARDO,Koala,Helicopter,Turboprop/Turboshaft,1,L,Helicopter,1T,S,Light,I,I,
A139,LEONARDO,AW-139,Helicopter,Turboprop/Turboshaft,2,L,Helicopter,2T,S+,Light,I,I,
A149,LEONARDO,AW-149,Helicopter,Turboprop/Turboshaft,2,M,Helicopter,2T,S+,Medium,H,I,
A169,LEONARDO,AW-169,Helicopter,Turboprop/Turboshaft,2,L,Helicopter,2T,S,Light,I,I,
AE45,LET,Aero 45,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,
L13M,LET,Blanik (single-engine conversions),LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
YK11,LET,C-11,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
Z37P,LET,Cmelák,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
L13M,LET,L-13 Blanik (single-engine conversions),LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
L200,LET,L-200 Morava,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,
L410,LET,L-410 Turbolet,LandPlane,Turboprop/Turboshaft,2,L,Fixed-wing,2T,S+,Light,I,III,
L410,LET,L-420 Turbolet,LandPlane,Turboprop/Turboshaft,2,L,Fixed-wing,2T,S+,Light,I,III,
L610,LET,L-610,LandPlane,Turboprop/Turboshaft,2,M,Fixed-wing,2T,S+,Medium,H,III,
L200,LET,Morava,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,
Z37P,LET,Sparka,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
AE45,LET,Super Aero 145,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,
L410,LET,Turbolet,LandPlane,Turboprop/Turboshaft,2,L,Fixed-wing,2T,S+,Light,I,III,
Z37P,LET,Z-37 Cmelák,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
Z37P,LET,Z-37 Sparka,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
Z37P,LET,Z-37A Cmelák,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
Z37P,LET,Z-37C Cmelák,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
Z37P,LET,Z-237 Cmelák,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
ACAM,LEZA,Air Cam,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,
ACAM,LEZA-LOCKWOOD,Air Cam,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,
LH10,LH AVIATION,Ellipse,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
LH10,LH AVIATION,LH-10 Ellipse,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
LIBE,LIBERTY (1),Bellaire,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
XL2,LIBERTY (2),XL-2,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
ALO3,LICHTWERK,Alouette 3,Helicopter,Turboprop/Turboshaft,1,L,Helicopter,1T,S,Light,I,I,
ALO3,LICHTWERK,SE-3160 Alouette 3,Helicopter,Turboprop/Turboshaft,1,L,Helicopter,1T,S,Light,I,I,
AVAM,LIGHT AERO,Avid Amphibian,Amphibian,Piston,1,L,@Fixed-wing,1P,S,Light,I,I,
AVID,LIGHT AERO,Avid Flyer,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
LM5X,LIGHT MINIATURE,LM-5 Super Cub,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
LM5X,LIGHT MINIATURE,Super Cub,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
AC4,LIGHT WING,AC-4,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
LBUG,LIGHTNING BUG,Lightning Bug,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
LX32,LILIENTHAL,Bekas (X-32),LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
LX34,LILIENTHAL,Bekas (X-34),LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
LX32,LILIENTHAL,X-32 Bekas,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
LX34,LILIENTHAL,X-34 Bekas,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
LX32,LILIENTHAL,100,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
LX32,LILIENTHAL,S-2 Sintal,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
LX32,LILIENTHAL,Sintal,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
PZ01,LIPNUR,Gawron,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
PZ04,LIPNUR,Gelatik,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
PZ01,LIPNUR,PZL-101 Gawron,LandPlane,Piston,1,L,Fixed-wing,1P,S,Light,I,I,
AKOY,LISA,Akoya,Amphibian,Piston,1,L,@Fixed-wing,1P,S,Light,I,I,
DC3,LISUNOV,Li-2,LandPlane,Piston,2,M,Fixed-wing,2P,S+,Medium,H,III,
RPUP,LITTLE WING,LW-4 Roto-Pup,Gyrocopter,Piston,1,L,Gyrocopter,1P,S,Light,I,I,
RPUP,LITTLE WING,LW-5 Roto-Pup,Gyrocopter,Piston,1,L,Gyrocopter,1P,S,Light,I,I,
RPUP,LITTLE WING,Roto-Pup,Gyrocopter,Piston,1,L,Gyrocopter,1P,S,Light,I,I,
IA63,LMAASA,AT-63 Pampa,LandPlane,Jet,1,L,Fixed-wing,1J,S,Light,I,III,
IA63,LMAASA,IA-63 Pampa,LandPlane,Jet,1,L,Fixed-wing,1J,S,Light,I,III,
IA63,LMAASA,Pampa,LandPlane,Jet,1,L,Fixed-wing,1J,S,Light,I,III,
LR2T,LOAD RANGER,2000,Helicopter,Turboprop/Turboshaft,1,L,Helicopter,1T,S,Light,I,I,
C130,LOCKHEED,AC-130 Spectre,LandPlane,Turboprop/Turboshaft,4,M,Fixed-wing,4T,L,Medium,F,III,
P3,LOCKHEED,AP-3 Orion,LandPlane,Turboprop/Turboshaft,4,M,Fixed-wing,4T,L,Medium,F,III,
